field,pearson,spearman,kendall,nmi,distance_corr,hsic,pearson_pass,spearman_pass,kendall_pass,nmi_pass,distance_corr_pass,hsic_pass,n_pass,kept,target
gen_fuel_nuclear_pct,0.26167724503183803,0.26569957700187,0.18587457246848033,0.024013440297336982,0.22204575684990052,0.03297995742114117,1,1,1,1,1,1,6,1,gross_actual_interchange_mw
gen_fuel_nuclear_mw,0.3475564070438246,0.3581458505980428,0.2451330552118286,0.05288399413167281,0.3421773838138148,0.07248546715511145,1,1,1,1,1,1,6,1,gross_actual_interchange_mw
gen_fuel_multiple_fuels_pct,0.13709959727664564,0.15689513127377905,0.11769467783857374,0.014889645593253767,0.13830977727023488,0.016321990468267815,1,1,1,1,1,1,6,1,gross_actual_interchange_mw
solar_generation_mw,0.2600350917220511,0.2778244188927898,0.17091161320924583,0.0336662265615535,0.2560443474660908,0.04032585870494402,1,1,1,1,1,1,6,1,gross_actual_interchange_mw
gen_fuel_oil_mw,0.19078889446892408,0.17216836580525136,0.12134983109693653,0.02940847071784372,0.15954548574719252,0.023045163651004594,1,1,1,1,1,1,6,1,gross_actual_interchange_mw
gen_fuel_gas_pct,0.2158351887235932,0.193206222443918,0.13047297637436597,0.019624527862788628,0.19621996085135873,0.022767698682893817,1,1,1,1,1,1,6,1,gross_actual_interchange_mw
gen_fuel_coal_pct,0.3423309743701826,0.3251671106361138,0.22032382549270135,0.031397603210156486,0.2956302812877859,0.04188200473017361,1,1,1,1,1,1,6,1,gross_actual_interchange_mw
gen_fuel_coal_mw,0.38039215808427496,0.36058978876396336,0.24918350506846254,0.03524968641653796,0.31528872554200055,0.05788664365056671,1,1,1,1,1,1,6,1,gross_actual_interchange_mw
gen_fuel_gas_mw,0.3285027303957206,0.3580728687827296,0.2539115818856577,0.03746812936397164,0.31028388333031026,0.06491695753318934,1,1,1,1,1,1,6,1,gross_actual_interchange_mw
gen_fuel_storage_mw,0.1686084473640161,0.16423117238582993,0.13143671278850358,0.030387329545432797,0.16565391808391108,0.017243749876713597,1,1,1,1,1,1,6,1,gross_actual_interchange_mw
gen_fuel_solar_mw,0.2570843220373201,0.19776811658084076,0.11340084384325674,0.026817797489340038,0.2557830187140206,0.04029998442652196,1,1,1,1,1,1,6,1,gross_actual_interchange_mw
gen_fuel_multiple_fuels_mw,0.18369199797294308,0.2065434439591919,0.14658770886704361,0.021680485078546335,0.17455221792727887,0.025982529764161568,1,1,1,1,1,1,6,1,gross_actual_interchange_mw
gen_fuel_other_renewables_mw,0.1663149890068445,0.17204106753606663,0.13661165278537551,0.02069375648070509,0.2148316465216041,0.03195267968486167,1,1,1,1,1,1,6,1,gross_actual_interchange_mw
gen_fuel_other_renewables_pct,0.22632306652012332,0.20727952286333157,0.1586986713424383,0.02779408906079346,0.1525764240846307,0.010003091505389531,1,1,1,1,1,0,5,1,gross_actual_interchange_mw
total_pjm_rmccp_cr,0.07796391092944809,0.2264760756057525,0.14862112798205365,0.01631282259018181,0.16798331634818106,0.021114090543569747,0,1,1,1,1,1,5,1,gross_actual_interchange_mw
congestion_price_da,0.17150458066467197,0.10020502055905689,0.07458481105173097,0.016692616648511554,0.17881898750129652,0.01579792449544715,1,0,0,1,1,1,4,1,gross_actual_interchange_mw
congestion_price_rt,0.09924237585427753,0.1848461492464831,0.13116193330239978,0.012874167592883005,0.12281904159454746,0.01951295848099645,0,1,1,0,0,1,3,1,gross_actual_interchange_mw
da_as_as_req_mw_thirty_minutes_reserve,0.10324145677576342,0.1346367210360368,0.10488596093695438,0.04678836851143795,0.08071210173386077,0.004767779134746611,0,1,1,1,0,0,3,1,gross_actual_interchange_mw
